time,distance,kf[0].R,kf_distance[0],tune_q[0],,
1289.814,15.75900078,6.04E-05,15.75935555,1.00E-08,,15.78296892
1289.815,15.75900078,6.04E-05,15.75935078,1.00E-08,,
1289.816,15.75900078,6.04E-05,15.75934601,1.00E-08,,
1289.817,15.75900078,6.04E-05,15.75934124,1.00E-08,,
1289.818,15.75900078,6.04E-05,15.75933647,1.00E-08,,
1289.819,15.75900078,6.04E-05,15.7593317,1.00E-08,,
1289.82,15.75900078,6.04E-05,15.75932789,1.00E-08,,
1289.821,15.75900078,6.04E-05,15.75932407,1.00E-08,,
1289.822,15.75900078,6.04E-05,15.75932026,1.00E-08,,
1289.823,15.75900078,6.04E-05,15.75931644,1.00E-08,,
1289.824,15.75900078,6.04E-05,15.75931263,1.00E-08,,
1289.825,15.75900078,6.04E-05,15.75930882,1.00E-08,,
1289.826,15.75900078,6.04E-05,15.759305,1.00E-08,,
1289.827,15.75900078,6.04E-05,15.75930119,1.00E-08,,
1289.828,15.75900078,6.04E-05,15.75929737,1.00E-08,,
1289.829,15.75900078,6.04E-05,15.75929356,1.00E-08,,
1289.83,15.75900078,6.04E-05,15.75928974,1.00E-08,,
1289.831,15.75900078,6.04E-05,15.75928593,1.00E-08,,
1289.832,15.75900078,6.04E-05,15.75928211,1.00E-08,,
1289.833,15.75900078,6.04E-05,15.7592783,1.00E-08,,
1289.834,15.75900078,6.04E-05,15.75927448,1.00E-08,,
1289.835,15.75900078,6.04E-05,15.75927067,1.00E-08,,
1289.836,15.75900078,6.04E-05,15.75926685,1.00E-08,,
1289.837,15.75900078,6.04E-05,15.75926304,1.00E-08,,
1289.838,15.75900078,6.04E-05,15.75925922,1.00E-08,,
1289.839,15.75900078,6.04E-05,15.75925636,1.00E-08,,
1289.84,15.75900078,6.04E-05,15.7592535,1.00E-08,,
1289.841,15.75900078,6.04E-05,15.75925064,1.00E-08,,
1289.842,15.75900078,6.04E-05,15.75924778,1.00E-08,,
1289.843,15.75900078,6.04E-05,15.75924492,1.00E-08,,
1289.844,15.75900078,6.04E-05,15.75924206,1.00E-08,,
1289.845,15.75900078,6.04E-05,15.7592392,1.00E-08,,
1289.846,15.75900078,6.04E-05,15.75923634,1.00E-08,,
1289.847,15.75900078,6.04E-05,15.75923347,1.00E-08,,
1289.848,15.75900078,6.04E-05,15.75923061,1.00E-08,,
1289.849,15.75900078,6.04E-05,15.75922775,1.00E-08,,
1289.85,15.75900078,6.04E-05,15.75922489,1.00E-08,,
1289.851,15.75900078,6.04E-05,15.75922203,1.00E-08,,
1289.852,15.75900078,6.04E-05,15.75921917,1.00E-08,,
1289.853,15.75900078,6.04E-05,15.75921631,1.00E-08,,
1289.854,15.75900078,6.04E-05,15.75921345,1.00E-08,,
1289.855,15.75900078,6.04E-05,15.75921059,1.00E-08,,
1289.856,15.75900078,6.04E-05,15.75920773,1.00E-08,,
1289.857,15.75900078,6.04E-05,15.75920486,1.00E-08,,
1289.858,15.75900078,6.04E-05,15.759202,1.00E-08,,
1289.859,15.75900078,6.04E-05,15.75919914,1.00E-08,,
1289.86,15.75900078,6.04E-05,15.75919628,1.00E-08,,
1289.861,15.75900078,6.04E-05,15.75919342,1.00E-08,,
1289.862,15.75900078,6.04E-05,15.75919056,1.00E-08,,
1289.863,15.75900078,6.04E-05,15.7591877,1.00E-08,,
1289.864,15.75900078,6.04E-05,15.75918484,1.00E-08,,
1289.865,15.75900078,6.04E-05,15.75918293,1.00E-08,,
1289.866,15.75900078,6.04E-05,15.75918102,1.00E-08,,
1289.867,15.75900078,6.04E-05,15.75917912,1.00E-08,,
1289.868,15.75900078,6.04E-05,15.75917721,1.00E-08,,
1289.869,15.75900078,6.04E-05,15.7591753,1.00E-08,,
1289.87,15.75900078,6.04E-05,15.75917339,1.00E-08,,
1289.871,15.75900078,6.04E-05,15.75917149,1.00E-08,,
1289.872,15.75900078,6.04E-05,15.75916958,1.00E-08,,
1289.873,15.75900078,6.04E-05,15.75916767,1.00E-08,,
1289.874,15.75900078,6.04E-05,15.75916576,1.00E-08,,
1289.875,15.75900078,6.04E-05,15.75916386,1.00E-08,,
1289.876,15.75900078,6.04E-05,15.75916195,1.00E-08,,
1289.877,15.75900078,6.04E-05,15.75916004,1.00E-08,,
1289.878,15.75900078,6.04E-05,15.75915813,1.00E-08,,
1289.879,15.75900078,6.04E-05,15.75915623,1.00E-08,,
1289.88,15.75900078,6.04E-05,15.75915432,1.00E-08,,
1289.881,15.75900078,6.04E-05,15.75915241,1.00E-08,,
1289.882,15.75900078,6.04E-05,15.75915051,1.00E-08,,
1289.883,15.75900078,6.04E-05,15.7591486,1.00E-08,,
1289.884,15.75900078,6.04E-05,15.75914669,1.00E-08,,
1289.885,15.75900078,6.04E-05,15.75914478,1.00E-08,,
1289.886,15.75900078,6.04E-05,15.75914288,1.00E-08,,
1289.887,15.75900078,6.04E-05,15.75914097,1.00E-08,,
1289.888,15.75900078,6.04E-05,15.75913906,1.00E-08,,
1289.889,15.75900078,6.04E-05,15.75913715,1.00E-08,,
1289.89,15.75900078,6.04E-05,15.75913525,1.00E-08,,
1289.891,15.75900078,6.04E-05,15.75913334,1.00E-08,,
1289.892,15.75900078,6.04E-05,15.75913143,1.00E-08,,
1289.893,15.75900078,6.04E-05,15.75912952,1.00E-08,,
1289.894,15.75900078,6.04E-05,15.75912762,1.00E-08,,
1289.895,15.75900078,6.04E-05,15.75912571,1.00E-08,,
1289.896,15.75900078,6.04E-05,15.7591238,1.00E-08,,
1289.897,15.75900078,6.04E-05,15.75912189,1.00E-08,,
1289.898,15.75900078,6.04E-05,15.75911999,1.00E-08,,
1289.899,15.75900078,6.04E-05,15.75911808,1.00E-08,,
1289.9,15.75900078,6.04E-05,15.75911617,1.00E-08,,
1289.901,15.75900078,6.04E-05,15.75911427,1.00E-08,,
1289.902,15.75900078,6.04E-05,15.75911236,1.00E-08,,
1289.903,15.75900078,6.04E-05,15.7591114,1.00E-08,,
1289.904,15.75900078,6.04E-05,15.75911045,1.00E-08,,
1289.905,15.75900078,6.04E-05,15.7591095,1.00E-08,,
1289.906,15.75900078,6.04E-05,15.75910854,1.00E-08,,
1289.907,15.75900078,6.04E-05,15.75910759,1.00E-08,,
1289.908,15.75900078,6.04E-05,15.75910664,1.00E-08,,
1289.909,15.75900078,6.04E-05,15.75910568,1.00E-08,,
1289.91,15.75900078,6.04E-05,15.75910473,1.00E-08,,
1289.911,15.75900078,6.04E-05,15.75910378,1.00E-08,,
1289.912,15.75900078,6.04E-05,15.75910282,1.00E-08,,
1289.913,15.75900078,6.04E-05,15.75910187,1.00E-08,,
1289.914,15.75900078,6.04E-05,15.75910091,1.00E-08,,
1289.915,15.75900078,6.04E-05,15.75909996,1.00E-08,,
1289.916,15.75900078,6.04E-05,15.75909901,1.00E-08,,
1289.917,15.75900078,6.04E-05,15.75909805,1.00E-08,,
1289.918,15.75900078,6.04E-05,15.7590971,1.00E-08,,
1289.919,15.75900078,6.04E-05,15.75909615,1.00E-08,,
1289.92,15.75900078,6.04E-05,15.75909519,1.00E-08,,
1289.921,15.75900078,6.04E-05,15.75909424,1.00E-08,,
1289.922,15.75900078,6.04E-05,15.75909328,1.00E-08,,
1289.923,15.75900078,6.04E-05,15.75909233,1.00E-08,,
1289.924,15.75900078,6.04E-05,15.75909138,1.00E-08,,
1289.925,15.75900078,6.04E-05,15.75909042,1.00E-08,,
1289.926,15.75900078,6.04E-05,15.75908947,1.00E-08,,
1289.927,15.75900078,6.04E-05,15.75908852,1.00E-08,,
1289.928,15.75900078,6.04E-05,15.75908756,1.00E-08,,
1289.929,15.75900078,6.04E-05,15.75908661,1.00E-08,,
1289.93,15.75900078,6.04E-05,15.75908566,1.00E-08,,
1289.931,15.75900078,6.04E-05,15.7590847,1.00E-08,,
1289.932,15.75900078,6.04E-05,15.75908375,1.00E-08,,
1289.933,15.75900078,6.04E-05,15.75908279,1.00E-08,,
1289.934,15.75900078,6.04E-05,15.75908184,1.00E-08,,
1289.935,15.75900078,6.04E-05,15.75908089,1.00E-08,,
1289.936,15.75900078,6.04E-05,15.75907993,1.00E-08,,
1289.937,15.75900078,6.04E-05,15.75907898,1.00E-08,,
1289.938,15.75900078,6.04E-05,15.75907803,1.00E-08,,
1289.939,15.75900078,6.04E-05,15.75907707,1.00E-08,,
1289.94,15.75900078,6.04E-05,15.75907612,1.00E-08,,
1289.941,15.75900078,6.04E-05,15.75907516,1.00E-08,,
1289.942,15.75900078,6.04E-05,15.75907421,1.00E-08,,
1289.943,15.75900078,6.04E-05,15.75907326,1.00E-08,,
1289.944,15.75900078,6.04E-05,15.7590723,1.00E-08,,
1289.945,15.75900078,6.04E-05,15.75907135,1.00E-08,,
1289.946,15.75900078,6.04E-05,15.7590704,1.00E-08,,
1289.947,15.75900078,6.04E-05,15.75906944,1.00E-08,,
1289.948,15.75900078,6.04E-05,15.75906849,1.00E-08,,
1289.949,15.75900078,6.04E-05,15.75906754,1.00E-08,,
1289.95,15.75900078,6.04E-05,15.75906658,1.00E-08,,
1289.951,15.75900078,6.04E-05,15.75906563,1.00E-08,,
1289.952,15.75900078,6.04E-05,15.75906467,1.00E-08,,
1289.953,15.75900078,6.04E-05,15.75906372,1.00E-08,,
1289.954,15.75900078,6.04E-05,15.75906277,1.00E-08,,
1289.955,15.75900078,6.04E-05,15.75906181,1.00E-08,,
1289.956,15.75900078,6.04E-05,15.75906086,1.00E-08,,
1289.957,15.75900078,6.04E-05,15.75905991,1.00E-08,,
1289.958,15.75900078,6.04E-05,15.75905895,1.00E-08,,
1289.959,15.75900078,6.04E-05,15.759058,1.00E-08,,
1289.96,15.75900078,6.04E-05,15.75905704,1.00E-08,,
1289.961,15.75900078,6.04E-05,15.75905609,1.00E-08,,
1289.962,15.75900078,6.04E-05,15.75905514,1.00E-08,,
1289.963,15.75900078,6.04E-05,15.75905418,1.00E-08,,
1289.964,15.75900078,6.04E-05,15.75905323,1.00E-08,,
1289.965,15.75900078,6.04E-05,15.75905228,1.00E-08,,
1289.966,15.75900078,6.04E-05,15.75905132,1.00E-08,,
1289.967,15.75900078,6.04E-05,15.75905037,1.00E-08,,
1289.968,15.75900078,6.04E-05,15.75904942,1.00E-08,,
1289.969,15.75900078,6.04E-05,15.75904846,1.00E-08,,
1289.97,15.75900078,6.04E-05,15.75904751,1.00E-08,,
1289.971,15.75900078,6.04E-05,15.75904655,1.00E-08,,
1289.972,15.75900078,6.04E-05,15.7590456,1.00E-08,,
1289.973,15.75900078,6.04E-05,15.75904465,1.00E-08,,
1289.974,15.75900078,6.04E-05,15.75904369,1.00E-08,,
1289.975,15.75900078,6.04E-05,15.75904274,1.00E-08,,
1289.976,15.75900078,6.04E-05,15.75904179,1.00E-08,,
1289.977,15.75900078,6.04E-05,15.75904083,1.00E-08,,
1289.978,15.75900078,6.04E-05,15.75903988,1.00E-08,,
1289.979,15.75900078,6.04E-05,15.75903893,1.00E-08,,
1289.98,15.75900078,6.04E-05,15.75903797,1.00E-08,,
1289.981,15.75900078,6.04E-05,15.75903797,1.00E-08,,
1289.982,15.75900078,6.04E-05,15.75903797,1.00E-08,,
1289.983,15.75900078,6.04E-05,15.75903797,1.00E-08,,
1289.984,15.75900078,6.04E-05,15.75903797,1.00E-08,,
1289.985,15.75900078,6.04E-05,15.75903797,1.00E-08,,
1289.986,15.75900078,6.04E-05,15.75903797,1.00E-08,,
1289.987,15.75900078,6.04E-05,15.75903797,1.00E-08,,
1289.988,15.75900078,6.04E-05,15.75903797,1.00E-08,,
1289.989,15.75900078,6.04E-05,15.75903797,1.00E-08,,
1289.99,15.75900078,6.04E-05,15.75903797,1.00E-08,,
1289.991,15.75900078,6.04E-05,15.75903797,1.00E-08,,
1289.992,15.75900078,6.04E-05,15.75903797,1.00E-08,,
1289.993,15.75900078,6.04E-05,15.75903797,1.00E-08,,
1289.994,15.75900078,6.04E-05,15.75903797,1.00E-08,,
1289.995,15.75900078,6.04E-05,15.75903797,1.00E-08,,
1289.996,15.75900078,6.04E-05,15.75903797,1.00E-08,,
1289.997,15.75900078,6.04E-05,15.75903797,1.00E-08,,
1289.998,15.75900078,6.04E-05,15.75903797,1.00E-08,,
1289.999,15.75900078,6.04E-05,15.75903797,1.00E-08,,
