time,distance,kf[0].R,kf_distance[0],tune_q[0],,
894.103,12.76700115,6.04E-05,12.77935982,1.00E-08,,12.78103434
894.104,12.76700115,6.04E-05,12.77935982,1.00E-08,,
894.105,12.76700115,6.04E-05,12.77920151,1.00E-08,,
894.106,12.76700115,6.04E-05,12.7790451,1.00E-08,,
894.107,12.76700115,6.04E-05,12.77889156,1.00E-08,,
894.108,12.76700115,6.04E-05,12.77873993,1.00E-08,,
894.109,12.76700115,6.04E-05,12.7785902,1.00E-08,,
894.11,12.76700115,6.04E-05,12.77844238,1.00E-08,,
894.111,12.76700115,6.04E-05,12.77829647,1.00E-08,,
894.112,12.76700115,6.04E-05,12.77815247,1.00E-08,,
894.113,12.76700115,6.04E-05,12.77801037,1.00E-08,,
894.114,12.76700115,6.04E-05,12.77786922,1.00E-08,,
894.115,12.76700115,6.04E-05,12.77772999,1.00E-08,,
894.116,12.76700115,6.04E-05,12.77759266,1.00E-08,,
894.117,12.76700115,6.04E-05,12.77745724,1.00E-08,,
894.118,12.76700115,6.04E-05,12.77732372,1.00E-08,,
894.119,12.76700115,6.04E-05,12.77719212,1.00E-08,,
894.12,12.76700115,6.04E-05,12.77706146,1.00E-08,,
894.121,12.76700115,6.04E-05,12.77693272,1.00E-08,,
894.122,12.76700115,6.04E-05,12.77680588,1.00E-08,,
894.123,12.76700115,6.04E-05,12.77668095,1.00E-08,,
894.124,12.76700115,6.04E-05,12.77655697,1.00E-08,,
894.125,12.76700115,6.04E-05,12.7764349,1.00E-08,,
894.126,12.76700115,6.04E-05,12.77631474,1.00E-08,,
894.127,12.76700115,6.04E-05,12.77619553,1.00E-08,,
894.128,12.76700115,6.04E-05,12.77607822,1.00E-08,,
894.129,12.76700115,6.04E-05,12.77596188,1.00E-08,,
894.13,12.76700115,6.04E-05,12.77584743,1.00E-08,,
894.131,12.76700115,6.04E-05,12.77573395,1.00E-08,,
894.132,12.76700115,6.04E-05,12.77562237,1.00E-08,,
894.133,12.76700115,6.04E-05,12.77551174,1.00E-08,,
894.134,12.76700115,6.04E-05,12.77540302,1.00E-08,,
894.135,12.76700115,6.04E-05,12.77529526,1.00E-08,,
894.136,12.76700115,6.04E-05,12.7751894,1.00E-08,,
894.137,12.76700115,6.04E-05,12.7750845,1.00E-08,,
894.138,12.76700115,6.04E-05,12.7749815,1.00E-08,,
894.139,12.76700115,6.04E-05,12.77487946,1.00E-08,,
894.14,12.76700115,6.04E-05,12.77477837,1.00E-08,,
894.141,12.76700115,6.04E-05,12.77467918,1.00E-08,,
894.142,12.76700115,6.04E-05,12.77458096,1.00E-08,,
894.143,12.76700115,6.04E-05,12.77448368,1.00E-08,,
894.144,12.76700115,6.04E-05,12.77438831,1.00E-08,,
894.145,12.76700115,6.04E-05,12.7742939,1.00E-08,,
894.146,12.76700115,6.04E-05,12.77420044,1.00E-08,,
894.147,12.76700115,6.04E-05,12.77410793,1.00E-08,,
894.148,12.76700115,6.04E-05,12.77401733,1.00E-08,,
894.149,12.76700115,6.04E-05,12.77392769,1.00E-08,,
894.15,12.76700115,6.04E-05,12.773839,1.00E-08,,
894.151,12.76700115,6.04E-05,12.77375126,1.00E-08,,
894.152,12.76700115,6.04E-05,12.77366543,1.00E-08,,
894.153,12.76700115,6.04E-05,12.77358055,1.00E-08,,
894.154,12.76700115,6.04E-05,12.77349663,1.00E-08,,
894.155,12.76700115,6.04E-05,12.77341366,1.00E-08,,
894.156,12.76700115,6.04E-05,12.77333164,1.00E-08,,
894.157,12.76700115,6.04E-05,12.77325058,1.00E-08,,
894.158,12.76700115,6.04E-05,12.77309132,1.00E-08,,
894.159,12.76700115,6.04E-05,12.77309132,1.00E-08,,
894.16,12.76700115,6.04E-05,12.77301311,1.00E-08,,
894.161,12.76700115,6.04E-05,12.77293587,1.00E-08,,
894.162,12.76700115,6.04E-05,12.77285957,1.00E-08,,
894.163,12.8010006,6.04E-05,12.77321911,1.00E-08,,
894.164,12.8010006,6.04E-05,12.77357388,1.00E-08,,
894.165,12.8010006,6.04E-05,12.77392483,1.00E-08,,
894.166,12.8010006,6.04E-05,12.77427101,1.00E-08,,
894.167,12.8010006,6.04E-05,12.77461243,1.00E-08,,
894.168,12.8010006,6.04E-05,12.77495003,1.00E-08,,
894.169,12.8010006,6.04E-05,12.77528286,1.00E-08,,
894.17,12.8010006,6.04E-05,12.77561188,1.00E-08,,
894.171,12.8010006,6.04E-05,12.77593613,1.00E-08,,
894.172,12.8010006,6.04E-05,12.77625656,1.00E-08,,
894.173,12.8010006,6.04E-05,12.77657318,1.00E-08,,
894.174,12.8010006,6.04E-05,12.77688503,1.00E-08,,
894.175,12.8010006,6.04E-05,12.77719307,1.00E-08,,
894.176,12.8010006,6.04E-05,12.77749729,1.00E-08,,
894.177,12.8010006,6.04E-05,12.7777977,1.00E-08,,
894.178,12.8010006,6.04E-05,12.77809429,1.00E-08,,
894.179,12.8010006,6.04E-05,12.77838707,1.00E-08,,
894.18,12.8010006,6.04E-05,12.77867603,1.00E-08,,
894.181,12.8010006,6.04E-05,12.77896118,1.00E-08,,
894.182,12.8010006,6.04E-05,12.77924252,1.00E-08,,
894.183,12.8010006,6.04E-05,12.77952099,1.00E-08,,
894.184,12.8010006,6.04E-05,12.77979565,1.00E-08,,
894.185,12.8010006,6.04E-05,12.78006649,1.00E-08,,
894.186,12.8010006,6.04E-05,12.78033447,1.00E-08,,
894.187,12.8010006,6.04E-05,12.78059864,1.00E-08,,
894.188,12.8010006,6.04E-05,12.78085995,1.00E-08,,
894.189,12.8010006,6.04E-05,12.78111744,1.00E-08,,
894.19,12.8010006,6.04E-05,12.78137207,1.00E-08,,
894.191,12.8010006,6.04E-05,12.78162289,1.00E-08,,
894.192,12.8010006,6.04E-05,12.78187084,1.00E-08,,
894.193,12.8010006,6.04E-05,12.78211498,1.00E-08,,
894.194,12.8010006,6.04E-05,12.78235626,1.00E-08,,
894.195,12.8010006,6.04E-05,12.78259468,1.00E-08,,
894.196,12.8010006,6.04E-05,12.78283024,1.00E-08,,
894.197,12.8010006,6.04E-05,12.78306293,1.00E-08,,
894.198,12.8010006,6.04E-05,12.78329182,1.00E-08,,
894.199,12.8010006,6.04E-05,12.78351784,1.00E-08,,
894.2,12.8010006,6.04E-05,12.783741,1.00E-08,,
894.201,12.8010006,6.04E-05,12.7839613,1.00E-08,,
894.202,12.8010006,6.04E-05,12.78417873,1.00E-08,,
894.203,12.8010006,6.04E-05,12.78439426,1.00E-08,,
894.204,12.8010006,6.04E-05,12.78460693,1.00E-08,,
894.205,12.8010006,6.04E-05,12.78481674,1.00E-08,,
894.206,12.8010006,6.04E-05,12.78502369,1.00E-08,,
894.207,12.8010006,6.04E-05,12.78522778,1.00E-08,,
894.208,12.8010006,6.04E-05,12.785429,1.00E-08,,
894.209,12.8010006,6.04E-05,12.78562832,1.00E-08,,
894.21,12.8010006,6.04E-05,12.78582478,1.00E-08,,
894.211,12.8010006,6.04E-05,12.78601837,1.00E-08,,
894.212,12.8010006,6.04E-05,12.78621006,1.00E-08,,
894.213,12.8010006,6.04E-05,12.78639889,1.00E-08,,
894.214,12.8010006,6.04E-05,12.78658581,1.00E-08,,
894.215,12.8010006,6.04E-05,12.78676987,1.00E-08,,
894.216,12.8010006,6.04E-05,12.78695202,1.00E-08,,
894.217,12.8010006,6.04E-05,12.78713131,1.00E-08,,
894.218,12.8010006,6.04E-05,12.78730869,1.00E-08,,
894.219,12.8010006,6.04E-05,12.78748417,1.00E-08,,
894.22,12.8010006,6.04E-05,12.78765678,1.00E-08,,
894.221,12.8010006,6.04E-05,12.78782749,1.00E-08,,
894.222,12.8010006,6.04E-05,12.78799629,1.00E-08,,
894.223,12.7840004,6.04E-05,12.78794479,1.00E-08,,
894.224,12.7840004,6.04E-05,12.78789425,1.00E-08,,
894.225,12.7840004,6.04E-05,12.78784466,1.00E-08,,
894.226,12.7840004,6.04E-05,12.78779507,1.00E-08,,
