time,distance,kf[0].R,kf_distance[0],tune_q[0],,
415.636,9.707000732,6.04E-05,9.702355385,1.00E-08,,9.706151498
415.637,9.707000732,6.04E-05,9.702414513,1.00E-08,,
415.638,9.707000732,6.04E-05,9.702472687,1.00E-08,,
415.639,9.707000732,6.04E-05,9.702530861,1.00E-08,,
415.64,9.707000732,6.04E-05,9.702588081,1.00E-08,,
415.641,9.707000732,6.04E-05,9.702644348,1.00E-08,,
415.642,9.707000732,6.04E-05,9.702699661,1.00E-08,,
415.643,9.707000732,6.04E-05,9.702754974,1.00E-08,,
415.644,9.707000732,6.04E-05,9.702809334,1.00E-08,,
415.645,9.707000732,6.04E-05,9.70286274,1.00E-08,,
415.646,9.707000732,6.04E-05,9.702915192,1.00E-08,,
415.647,9.707000732,6.04E-05,9.702967644,1.00E-08,,
415.648,9.707000732,6.04E-05,9.703019142,1.00E-08,,
415.649,9.707000732,6.04E-05,9.703069687,1.00E-08,,
415.65,9.707000732,6.04E-05,9.703120232,1.00E-08,,
415.651,9.707000732,6.04E-05,9.703169823,1.00E-08,,
415.652,9.707000732,6.04E-05,9.70321846,1.00E-08,,
415.653,9.707000732,6.04E-05,9.703267097,1.00E-08,,
415.654,9.707000732,6.04E-05,9.703314781,1.00E-08,,
415.655,9.707000732,6.04E-05,9.703361511,1.00E-08,,
415.656,9.707000732,6.04E-05,9.703408241,1.00E-08,,
415.657,9.707000732,6.04E-05,9.703454018,1.00E-08,,
415.658,9.707000732,6.04E-05,9.703499794,1.00E-08,,
415.659,9.707000732,6.04E-05,9.703544617,1.00E-08,,
415.66,9.707000732,6.04E-05,9.703588486,1.00E-08,,
415.661,9.707000732,6.04E-05,9.703632355,1.00E-08,,
415.662,9.707000732,6.04E-05,9.70367527,1.00E-08,,
415.663,9.707000732,6.04E-05,9.703718185,1.00E-08,,
415.664,9.707000732,6.04E-05,9.703760147,1.00E-08,,
415.665,9.707000732,6.04E-05,9.703801155,1.00E-08,,
415.666,9.707000732,6.04E-05,9.703842163,1.00E-08,,
415.667,9.707000732,6.04E-05,9.703882217,1.00E-08,,
415.668,9.707000732,6.04E-05,9.703922272,1.00E-08,,
415.669,9.707000732,6.04E-05,9.703961372,1.00E-08,,
415.67,9.707000732,6.04E-05,9.704000473,1.00E-08,,
415.671,9.707000732,6.04E-05,9.70403862,1.00E-08,,
415.672,9.707000732,6.04E-05,9.704076767,1.00E-08,,
415.673,9.707000732,6.04E-05,9.70411396,1.00E-08,,
415.674,9.707000732,6.04E-05,9.704151154,1.00E-08,,
415.675,9.707000732,6.04E-05,9.704187393,1.00E-08,,
415.676,9.707000732,6.04E-05,9.704223633,1.00E-08,,
415.677,9.707000732,6.04E-05,9.704258919,1.00E-08,,
415.678,9.707000732,6.04E-05,9.704294205,1.00E-08,,
415.679,9.707000732,6.04E-05,9.704328537,1.00E-08,,
415.68,9.707000732,6.04E-05,9.704362869,1.00E-08,,
415.681,9.707000732,6.04E-05,9.704396248,1.00E-08,,
415.682,9.707000732,6.04E-05,9.704429626,1.00E-08,,
415.683,9.707000732,6.04E-05,9.704462051,1.00E-08,,
415.684,9.707000732,6.04E-05,9.704494476,1.00E-08,,
415.685,9.707000732,6.04E-05,9.704526901,1.00E-08,,
415.686,9.707000732,6.04E-05,9.704558372,1.00E-08,,
415.687,9.707000732,6.04E-05,9.704589844,1.00E-08,,
415.688,9.707000732,6.04E-05,9.704620361,1.00E-08,,
415.689,9.707000732,6.04E-05,9.704650879,1.00E-08,,
415.69,9.707000732,6.04E-05,9.704681396,1.00E-08,,
415.691,9.707000732,6.04E-05,9.70471096,1.00E-08,,
415.692,9.707000732,6.04E-05,9.704740524,1.00E-08,,
415.693,9.707000732,6.04E-05,9.704769135,1.00E-08,,
415.694,9.707000732,6.04E-05,9.704797745,1.00E-08,,
415.695,9.707000732,6.04E-05,9.704826355,1.00E-08,,
415.696,9.707000732,6.04E-05,9.704854012,1.00E-08,,
415.697,9.707000732,6.04E-05,9.704881668,1.00E-08,,
415.698,9.707000732,6.04E-05,9.704908371,1.00E-08,,
415.699,9.707000732,6.04E-05,9.704935074,1.00E-08,,
415.7,9.707000732,6.04E-05,9.704961777,1.00E-08,,
415.701,9.707000732,6.04E-05,9.704987526,1.00E-08,,
415.702,9.707000732,6.04E-05,9.705013275,1.00E-08,,
415.703,9.707000732,6.04E-05,9.705039024,1.00E-08,,
415.704,9.707000732,6.04E-05,9.70506382,1.00E-08,,
415.705,9.707000732,6.04E-05,9.705088615,1.00E-08,,
415.706,9.707000732,6.04E-05,9.705113411,1.00E-08,,
415.707,9.707000732,6.04E-05,9.705137253,1.00E-08,,
415.708,9.707000732,6.04E-05,9.705161095,1.00E-08,,
415.709,9.707000732,6.04E-05,9.705184937,1.00E-08,,
415.71,9.724000931,6.04E-05,9.705425262,1.00E-08,,
415.711,9.724000931,6.04E-05,9.705662727,1.00E-08,,
415.712,9.724000931,6.04E-05,9.705897331,1.00E-08,,
415.713,9.724000931,6.04E-05,9.706129074,1.00E-08,,
415.714,9.724000931,6.04E-05,9.706357956,1.00E-08,,
415.715,9.724000931,6.04E-05,9.706583977,1.00E-08,,
415.716,9.724000931,6.04E-05,9.706806183,1.00E-08,,
415.717,9.724000931,6.04E-05,9.707026482,1.00E-08,,
415.718,9.724000931,6.04E-05,9.707243919,1.00E-08,,
415.719,9.724000931,6.04E-05,9.707458496,1.00E-08,,
415.72,9.724000931,6.04E-05,9.707670212,1.00E-08,,
415.721,9.724000931,6.04E-05,9.707879066,1.00E-08,,
415.722,9.724000931,6.04E-05,9.70808506,1.00E-08,,
415.723,9.724000931,6.04E-05,9.708288193,1.00E-08,,
415.724,9.724000931,6.04E-05,9.708489418,1.00E-08,,
415.725,9.724000931,6.04E-05,9.708687782,1.00E-08,,
415.726,9.724000931,6.04E-05,9.708883286,1.00E-08,,
415.727,9.724000931,6.04E-05,9.709076881,1.00E-08,,
415.728,9.724000931,6.04E-05,9.709267616,1.00E-08,,
415.729,9.724000931,6.04E-05,9.709456444,1.00E-08,,
415.73,9.724000931,6.04E-05,9.70964241,1.00E-08,,
415.731,9.724000931,6.04E-05,9.709825516,1.00E-08,,
415.732,9.724000931,6.04E-05,9.710006714,1.00E-08,,
415.733,9.724000931,6.04E-05,9.710186005,1.00E-08,,
415.734,9.724000931,6.04E-05,9.710362434,1.00E-08,,
415.735,9.724000931,6.04E-05,9.710536957,1.00E-08,,
415.736,9.724000931,6.04E-05,9.710708618,1.00E-08,,
415.737,9.724000931,6.04E-05,9.710878372,1.00E-08,,
415.738,9.724000931,6.04E-05,9.711046219,1.00E-08,,
415.739,9.724000931,6.04E-05,9.711212158,1.00E-08,,
415.74,9.724000931,6.04E-05,9.711375237,1.00E-08,,
415.741,9.724000931,6.04E-05,9.711536407,1.00E-08,,
415.742,9.724000931,6.04E-05,9.711695671,1.00E-08,,
415.743,9.724000931,6.04E-05,9.711853027,1.00E-08,,
415.744,9.724000931,6.04E-05,9.712008476,1.00E-08,,
415.745,9.724000931,6.04E-05,9.712162018,1.00E-08,,
415.746,9.724000931,6.04E-05,9.712313652,1.00E-08,,
415.747,9.724000931,6.04E-05,9.712463379,1.00E-08,,
415.748,9.724000931,6.04E-05,9.712611198,1.00E-08,,
415.749,9.724000931,6.04E-05,9.712757111,1.00E-08,,
415.75,9.724000931,6.04E-05,9.712901115,1.00E-08,,
415.751,9.724000931,6.04E-05,9.713043213,1.00E-08,,
415.752,9.724000931,6.04E-05,9.713183403,1.00E-08,,
415.753,9.724000931,6.04E-05,9.713321686,1.00E-08,,
415.754,9.724000931,6.04E-05,9.713458061,1.00E-08,,
415.755,9.724000931,6.04E-05,9.713592529,1.00E-08,,
415.756,9.724000931,6.04E-05,9.713726044,1.00E-08,,
415.757,9.724000931,6.04E-05,9.713857651,1.00E-08,,
415.758,9.724000931,6.04E-05,9.71398735,1.00E-08,,
415.759,9.724000931,6.04E-05,9.714115143,1.00E-08,,
415.76,9.724000931,6.04E-05,9.714241982,1.00E-08,,
415.761,9.724000931,6.04E-05,9.714366913,1.00E-08,,
415.762,9.724000931,6.04E-05,9.714489937,1.00E-08,,
415.763,9.724000931,6.04E-05,9.714612007,1.00E-08,,
415.764,9.724000931,6.04E-05,9.71473217,1.00E-08,,
415.765,9.724000931,6.04E-05,9.714850426,1.00E-08,,
415.766,9.724000931,6.04E-05,9.714967728,1.00E-08,,
415.767,9.724000931,6.04E-05,9.715083122,1.00E-08,,
415.768,9.724000931,6.04E-05,9.715197563,1.00E-08,,
415.769,9.724000931,6.04E-05,9.715310097,1.00E-08,,
415.77,9.707000732,6.04E-05,9.715204239,1.00E-08,,
415.771,9.707000732,6.04E-05,9.715099335,1.00E-08,,
415.772,9.707000732,6.04E-05,9.714995384,1.00E-08,,
415.773,9.707000732,6.04E-05,9.714893341,1.00E-08,,
415.774,9.707000732,6.04E-05,9.714792252,1.00E-08,,
415.775,9.707000732,6.04E-05,9.714693069,1.00E-08,,
415.776,9.707000732,6.04E-05,9.714594841,1.00E-08,,
415.777,9.707000732,6.04E-05,9.714497566,1.00E-08,,
415.778,9.707000732,6.04E-05,9.714402199,1.00E-08,,
415.779,9.707000732,6.04E-05,9.714307785,1.00E-08,,
415.78,9.707000732,6.04E-05,9.714214325,1.00E-08,,
415.781,9.707000732,6.04E-05,9.714121819,1.00E-08,,
415.782,9.707000732,6.04E-05,9.714031219,1.00E-08,,
415.783,9.707000732,6.04E-05,9.713941574,1.00E-08,,
415.784,9.707000732,6.04E-05,9.713852882,1.00E-08,,
415.785,9.707000732,6.04E-05,9.713765144,1.00E-08,,
415.786,9.707000732,6.04E-05,9.71367836,1.00E-08,,
415.787,9.707000732,6.04E-05,9.713592529,1.00E-08,,
415.788,9.707000732,6.04E-05,9.713508606,1.00E-08,,
415.789,9.707000732,6.04E-05,9.713425636,1.00E-08,,
415.79,9.707000732,6.04E-05,9.71334362,1.00E-08,,
415.791,9.707000732,6.04E-05,9.713262558,1.00E-08,,
415.792,9.707000732,6.04E-05,9.713182449,1.00E-08,,
415.793,9.707000732,6.04E-05,9.713103294,1.00E-08,,
415.794,9.707000732,6.04E-05,9.713025093,1.00E-08,,
