time,distance,kf_distance[0],kf_distance[1],kf_distance[2],kf_distance[3],kf_distance[4],kf_distance[5],
0,17.663000106811523,17.475601196289062,17.659629821777344,17.662269592285156,17.368545532226562,17.583606719970703,17.660194396972656,
0.001,17.663000106811523,17.475622177124023,17.659547805786133,17.662269592285156,17.367727279663086,17.584274291992188,17.660198211669922,
0.001,17.663000106811523,17.475622177124023,17.65946388244629,17.662269592285156,17.366914749145508,17.584938049316406,17.660202026367188,
0.002,17.663000106811523,17.475650787353516,17.65946388244629,17.662269592285156,17.366914749145508,17.584938049316406,17.660202026367188,
0.003,17.663000106811523,17.475683212280273,17.659381866455078,17.662269592285156,17.366106033325195,17.58559799194336,17.660205841064453,
0.004,17.663000106811523,17.475723266601562,17.659299850463867,17.662269592285156,17.36530303955078,17.586254119873047,17.66020965576172,
0.005,17.663000106811523,17.47576904296875,17.65921974182129,17.662269592285156,17.364503860473633,17.58690643310547,17.660213470458984,
0.006,17.663000106811523,17.47582244873047,17.659137725830078,17.662269592285156,17.36370849609375,17.587554931640625,17.66021728515625,
0.007,17.663000106811523,17.475879669189453,17.6590576171875,17.662269592285156,17.362918853759766,17.588199615478516,17.660221099853516,
0.008,17.663000106811523,17.475942611694336,17.658979415893555,17.662269592285156,17.36213493347168,17.588838577270508,17.66022491455078,
0.009,17.663000106811523,17.476011276245117,17.65890121459961,17.662269592285156,17.36135482788086,17.589475631713867,17.660226821899414,
0.01,17.663000106811523,17.476085662841797,17.65882110595703,17.662269592285156,17.360578536987305,17.590106964111328,17.660228729248047,
0.011,17.663000106811523,17.476165771484375,17.65874481201172,17.662269592285156,17.35980796813965,17.590736389160156,17.660232543945312,
0.012,17.663000106811523,17.47625160217285,17.658668518066406,17.662269592285156,17.359041213989258,17.591360092163086,17.660236358642578,
0.013,17.663000106811523,17.476343154907227,17.658592224121094,17.662269592285156,17.358278274536133,17.59197998046875,17.66023826599121,
0.014,17.663000106811523,17.4764404296875,17.65851593017578,17.662269592285156,17.357521057128906,17.592594146728516,17.660240173339844,
0.015,17.663000106811523,17.47654151916504,17.6584415435791,17.662269592285156,17.356767654418945,17.59320640563965,17.66024398803711,
0.016,17.663000106811523,17.476648330688477,17.658367156982422,17.662269592285156,17.356019973754883,17.593814849853516,17.660245895385742,
0.017,17.663000106811523,17.476760864257812,17.658294677734375,17.662269592285156,17.355276107788086,17.594417572021484,17.660247802734375,
0.018,17.663000106811523,17.476877212524414,17.658222198486328,17.662269592285156,17.354536056518555,17.595016479492188,17.660249710083008,
0.019,17.663000106811523,17.476999282836914,17.658151626586914,17.662269592285156,17.353801727294922,17.595611572265625,17.66025161743164,
0.02,17.663000106811523,17.477127075195312,17.6580810546875,17.662269592285156,17.353071212768555,17.596202850341797,17.660253524780273,
0.021,17.663000106811523,17.47726058959961,17.65801239013672,17.662269592285156,17.352344512939453,17.59678840637207,17.660255432128906,
0.022,17.663000106811523,17.477397918701172,17.657943725585938,17.662269592285156,17.35162353515625,17.597370147705078,17.66025733947754,
0.023,17.663000106811523,17.4775390625,17.657875061035156,17.662269592285156,17.350906372070312,17.59794807434082,17.660259246826172,
0.024,17.663000106811523,17.477685928344727,17.657806396484375,17.662269592285156,17.35019302368164,17.598522186279297,17.660261154174805,
0.025,17.663000106811523,17.47783660888672,17.65774154663086,17.662269592285156,17.349483489990234,17.599090576171875,17.660263061523438,
0.026,17.663000106811523,17.47799301147461,17.657676696777344,17.662269592285156,17.348779678344727,17.599655151367188,17.660263061523438,
0.027,17.663000106811523,17.478153228759766,17.657611846923828,17.662269592285156,17.348079681396484,17.600215911865234,17.66026496887207,
0.028,17.663000106811523,17.47831916809082,17.657548904418945,17.662269592285156,17.34738540649414,17.600772857666016,17.660266876220703,
0.029,17.663000106811523,17.47848892211914,17.657485961914062,17.662269592285156,17.34669303894043,17.6013240814209,17.660266876220703,
0.03,17.663000106811523,17.478662490844727,17.657424926757812,17.662269592285156,17.346006393432617,17.601871490478516,17.660268783569336,
0.031,17.663000106811523,17.478839874267578,17.657363891601562,17.662269592285156,17.345325469970703,17.602413177490234,17.660268783569336,
0.032,17.663000106811523,17.479022979736328,17.657304763793945,17.662269592285156,17.344646453857422,17.602951049804688,17.66027069091797,
0.033,17.663000106811523,17.479209899902344,17.657245635986328,17.662269592285156,17.34397315979004,17.603485107421875,17.66027069091797,
0.034,17.663000106811523,17.479400634765625,17.657188415527344,17.662269592285156,17.343303680419922,17.604015350341797,17.6602725982666,
0.035,17.663000106811523,17.479595184326172,17.65713119506836,17.662269592285156,17.34263801574707,17.604541778564453,17.6602725982666,
0.036,17.663000106811523,17.479795455932617,17.657075881958008,17.662269592285156,17.341978073120117,17.605060577392578,17.660274505615234,
0.037,17.663000106811523,17.479999542236328,17.657020568847656,17.662269592285156,17.341320037841797,17.60557746887207,17.660274505615234,
0.038,17.663000106811523,17.480205535888672,17.656967163085938,17.662269592285156,17.340667724609375,17.606090545654297,17.660274505615234,
0.039,17.663000106811523,17.480417251586914,17.65691375732422,17.662269592285156,17.34002113342285,17.606597900390625,17.660276412963867,
0.04,17.663000106811523,17.480632781982422,17.656862258911133,17.662269592285156,17.33937644958496,17.607099533081055,17.660276412963867,
0.041,17.663000106811523,17.480850219726562,17.656810760498047,17.662269592285156,17.33873748779297,17.60759925842285,17.660276412963867,
0.042,17.663000106811523,17.4810733795166,17.656761169433594,17.662269592285156,17.33810043334961,17.60809326171875,17.6602783203125,
0.043,17.663000106811523,17.481300354003906,17.65671157836914,17.662269592285156,17.33747100830078,17.60858154296875,17.6602783203125,
0.044,17.663000106811523,17.481529235839844,17.656661987304688,17.662269592285156,17.336841583251953,17.609067916870117,17.6602783203125,
0.045,17.663000106811523,17.481761932373047,17.656614303588867,17.662269592285156,17.336219787597656,17.609548568725586,17.6602783203125,
0.046,17.663000106811523,17.48200035095215,17.65656852722168,17.662269592285156,17.335601806640625,17.610023498535156,17.6602783203125,
0.047,17.663000106811523,17.482240676879883,17.656522750854492,17.662269592285156,17.334985733032227,17.610496520996094,17.660280227661133,
0.048,17.663000106811523,17.482484817504883,17.656476974487305,17.662269592285156,17.334375381469727,17.610963821411133,17.660280227661133,
0.049,17.017000198364258,17.475881576538086,17.63486671447754,17.596464157104492,17.330251693725586,17.600072860717773,17.62496566772461,
0.05,17.017000198364258,17.469318389892578,17.613624572753906,17.53418731689453,17.326141357421875,17.589279174804688,17.59064292907715,
0.051,17.017000198364258,17.46279525756836,17.59274673461914,17.475419998168945,17.32204246520996,17.578580856323242,17.55731201171875,
0.052,17.017000198364258,17.45631217956543,17.572237014770508,17.420127868652344,17.31795883178711,17.56797981262207,17.524967193603516,
0.053,17.017000198364258,17.44986915588379,17.552091598510742,17.36825942993164,17.313888549804688,17.55747413635254,17.493608474731445,
0.054,17.017000198364258,17.443466186523438,17.532312393188477,17.31974983215332,17.309833526611328,17.54706382751465,17.463226318359375,
0.055,17.017000198364258,17.437101364135742,17.512897491455078,17.274520874023438,17.305789947509766,17.53675079345703,17.433815002441406,
0.056,17.017000198364258,17.430776596069336,17.493846893310547,17.232486724853516,17.301761627197266,17.526533126831055,17.405366897583008,
0.057,17.017000198364258,17.42449188232422,17.475154876708984,17.193552017211914,17.297746658325195,17.51641273498535,17.37787437438965,
0.058,17.017000198364258,17.418245315551758,17.456825256347656,17.15761375427246,17.293745040893555,17.506385803222656,17.35132598876953,
0.059,17.017000198364258,17.412038803100586,17.438852310180664,17.12456512451172,17.289756774902344,17.496456146240234,17.32571029663086,
0.06,17.017000198364258,17.405872344970703,17.42123794555664,17.094287872314453,17.285781860351562,17.486621856689453,17.30101776123047,
0.061,17.017000198364258,17.399744033813477,17.40397834777832,17.06667137145996,17.28182029724121,17.476882934570312,17.27723503112793,
0.062,17.017000198364258,17.39365577697754,17.387069702148438,17.04159164428711,17.27787208557129,17.467239379882812,17.254348754882812,
0.063,17.017000198364258,17.387605667114258,17.370513916015625,17.01892852783203,17.27393913269043,17.457691192626953,17.232343673706055,
0.064,17.017000198364258,17.381595611572266,17.354305267333984,16.99856185913086,17.270017623901367,17.448238372802734,17.21120834350586,
