time,distance,kf_distance[0]
0.596,18.02000046,18.02275658
0.597,17.35700035,18.00205231
0.598,17.35700035,17.98167419
0.599,17.35700035,17.96161652
0.6,17.35700035,17.94188118
0.601,17.35700035,17.92246246
0.602,17.35700035,17.90336037
0.603,17.35700035,17.88456917
0.604,17.35700035,17.86608887
0.605,17.35700035,17.84791565
0.606,17.35700035,17.8300457
0.607,17.35700035,17.81247902
0.608,17.35700035,17.79521179
0.609,17.35700035,17.77824211
0.61,17.35700035,17.76156616
0.611,17.35700035,17.74518204
0.612,17.35700035,17.72908783
0.613,17.35700035,17.71328163
0.614,17.35700035,17.69775772
0.615,17.35700035,17.68251801
0.616,17.35700035,17.66755486
0.617,17.35700035,17.65286827
0.618,17.35700035,17.63845825
0.619,17.35700035,17.62431717
0.62,17.35700035,17.61044502
0.621,17.35700035,17.5968399
0.622,17.35700035,17.583498
0.623,17.35700035,17.5704174
0.624,17.35700035,17.55759621
0.625,17.35700035,17.54503059
0.626,17.35700035,17.53271866
0.627,17.35700035,17.52065849
0.628,17.35700035,17.50884628
0.629,17.35700035,17.49728012
0.63,17.35700035,17.48595619
0.631,17.35700035,17.4748745
0.632,17.35700035,17.46403122
0.633,17.35700035,17.45342255
0.634,17.35700035,17.44304848
0.635,17.35700035,17.4329052
0.636,17.35700035,17.4229908
0.637,17.35700035,17.41329956
0.638,17.35700035,17.4038353
0.639,17.35700035,17.39458847
0.64,17.35700035,17.3855629
0.641,17.35700035,17.37675095
0.642,17.35700035,17.36815262
0.643,17.35700035,17.35976791
0.644,17.35700035,17.3515892
0.645,17.35700035,17.34361649
0.646,17.35700035,17.33584785
0.647,17.35700035,17.3282795
0.648,17.35700035,17.32091141
0.649,17.35700035,17.31373978
0.65,17.35700035,17.30675888
0.651,17.35700035,17.29997253
0.652,17.35700035,17.29337311
0.653,17.35700035,17.2869606
0.654,17.35700035,17.28073311
0.655,17.35700035,17.27468681
0.656,17.35700035,17.26881981
0.657,16.72800064,17.24354362
0.658,16.72800064,17.21875
0.659,16.72800064,17.19443512
0.66,16.72800064,17.17059517
0.661,16.72800064,17.14722252
0.662,16.72800064,17.12431526
0.663,16.72800064,17.10186768
0.664,16.72800064,17.07987404
0.665,16.72800064,17.05832863
0.666,16.72800064,17.03723145
0.667,16.72800064,17.01657295
0.668,16.72800064,16.99634933
0.669,16.72800064,16.97655869
0.67,16.72800064,16.95719337
0.671,16.72800064,16.9382515
0.672,16.72800064,16.91972351
0.673,16.72800064,16.90161133
0.674,16.72800064,16.8839035
0.675,16.72800064,16.86660194
0.676,16.72800064,16.84969711
0.677,16.72800064,16.8331871
0.678,16.72800064,16.81706619
0.679,16.72800064,16.80133057
0.68,16.72800064,16.7859745
0.681,16.72800064,16.77099419
0.682,16.72800064,16.7563858
0.683,16.72800064,16.74214363
0.684,16.72800064,16.72826385
0.685,16.72800064,16.71474075
0.686,16.72800064,16.70157242
0.687,16.72800064,16.68875122
0.688,16.72800064,16.67627716
0.689,16.72800064,16.6641407
0.69,16.72800064,16.65233994
0.691,16.72800064,16.64087296
0.692,16.72800064,16.62973022
0.693,16.72800064,16.61891174
0.694,16.72800064,16.60840988
0.695,16.72800064,16.59822464
0.696,16.72800064,16.58834648
0.697,16.72800064,16.57877541
0.698,16.72800064,16.56950569
0.699,16.72800064,16.56053162
0.7,16.72800064,16.55185127
0.701,16.72800064,16.54345894
0.702,16.72800064,16.5353508
0.703,16.72800064,16.52752495
0.704,16.72800064,16.51997375
0.705,16.72800064,16.51269531
0.706,16.72800064,16.50568581
0.707,16.72800064,16.49893951
0.708,16.72800064,16.49245262
0.709,16.72800064,16.48622131
0.71,16.72800064,16.48024368
0.711,16.72800064,16.47451401
0.712,16.72800064,16.46902847
0.713,16.72800064,16.46378136
0.714,16.72800064,16.45877266
0.715,16.72800064,16.45399666
0.716,16.72800064,16.44944763
0.717,14.39900112,16.37260056
0.718,14.39900112,16.29711723
0.719,14.39900112,16.22298431
0.72,14.39900112,16.15019035
0.721,14.39900112,16.07872009
0.722,14.39900112,16.008564
0.723,14.39900112,15.9397068
0.724,14.39900112,15.87213707
0.725,14.39900112,15.80584145
0.726,14.39900112,15.74080849
0.727,14.39900112,15.67702389
0.728,14.39900112,15.61447716
0.729,14.39900112,15.55315304
0.73,14.39900112,15.49304104
0.731,14.39900112,15.43412781
0.732,14.39900112,15.3764019
0.733,14.39900112,15.31984901
0.734,14.39900112,15.26445866
0.735,14.39900112,15.21021748
0.736,14.39900112,15.15711308
0.737,14.39900112,15.10513306
0.738,14.39900112,15.05426598
0.739,14.39900112,15.00449944
0.74,14.39900112,14.95582008
0.741,14.39900112,14.90821743
0.742,14.39900112,14.86167812
0.743,14.39900112,14.81619072
0.744,14.39900112,14.77174187
0.745,14.39900112,14.72832108
0.746,14.39900112,14.68591595
0.747,14.39900112,14.64451504
0.748,14.39900112,14.604105
0.749,14.39900112,14.56467533
0.75,14.39900112,14.52621269
0.751,14.39900112,14.48870754
0.752,14.39900112,14.45214653
0.753,14.39900112,14.41651821
0.754,14.39900112,14.38181114
0.755,14.39900112,14.34801388
0.756,14.39900112,14.31511497
0.757,14.39900112,14.28310204
0.758,14.39900112,14.25196457
0.759,14.39900112,14.22169113
0.76,14.39900112,14.19226933
0.761,14.39900112,14.16368866
0.762,14.39900112,14.13593864
0.763,14.39900112,14.10900688
0.764,14.39900112,14.08288193
0.765,14.39900112,14.05755424
0.766,14.39900112,14.03301144
0.767,14.39900112,14.00924301
0.768,14.39900112,13.98623753
0.769,14.39900112,13.96398544
0.77,14.39900112,13.94247437
0.771,14.39900112,13.92169476
0.772,14.39900112,13.90163517
0.773,14.39900112,13.88228512
0.774,14.39900112,13.86363411
0.775,14.39900112,13.84567165
0.776,10.04700089,13.69286728
0.777,10.04700089,13.54286575
0.778,10.04700089,13.39563942
0.779,10.04700089,13.25116158
0.78,10.04700089,13.10940456
0.781,10.04700089,12.97034168
0.782,10.04700089,12.83394432
0.783,10.04700089,12.70018768
