time,distance,kf_distance[0]
0,18.00300026,18.00037956
0.001,17.0340004,17.97013092
0.002,17.0340004,17.94036102
0.003,17.0340004,17.91106415
0.004,17.0340004,17.88223839
0.005,17.0340004,17.85387802
0.006,17.0340004,17.82597923
0.007,17.0340004,17.79854012
0.008,17.0340004,17.77155495
0.009,17.0340004,17.74502182
0.01,17.0340004,17.71893311
0.011,17.0340004,17.69329071
0.012,17.0340004,17.66808701
0.013,17.0340004,17.64331818
0.014,17.0340004,17.61898232
0.015,17.0340004,17.59507561
0.016,17.0340004,17.57159042
0.017,17.0340004,17.54852867
0.018,17.0340004,17.52588272
0.019,17.0340004,17.50364876
0.02,17.0340004,17.48182487
0.021,17.0340004,17.46040726
0.022,17.0340004,17.43939018
0.023,17.0340004,17.41877174
0.024,17.0340004,17.39854622
0.025,17.0340004,17.3787117
0.026,17.0340004,17.35926437
0.027,17.0340004,17.34019852
0.028,17.0340004,17.32151413
0.029,17.0340004,17.30320358
0.03,17.0340004,17.28526306
0.031,17.0340004,17.26769257
0.032,17.0340004,17.25048447
0.033,17.0340004,17.23363876
0.034,17.0340004,17.21714783
0.035,17.0340004,17.20101166
0.036,17.0340004,17.18522263
0.037,17.0340004,17.16978073
0.038,17.0340004,17.15467834
0.039,17.0340004,17.13991547
0.04,17.0340004,17.12548828
0.041,17.0340004,17.11138916
0.042,17.0340004,17.0976181
0.043,17.0340004,17.0841713
0.044,17.0340004,17.07104301
0.045,17.0340004,17.05823135
0.046,17.0340004,17.04573059
0.047,17.0340004,17.03353882
0.048,17.0340004,17.02165413
0.049,17.0340004,17.01006889
0.05,17.0340004,16.9987812
0.051,17.0340004,16.98778915
0.052,17.0340004,16.97708702
0.053,17.0340004,16.96667099
0.054,17.0340004,16.95654106
0.055,17.0340004,16.94668961
0.056,17.0340004,16.93711281
0.057,17.0340004,16.92781067
0.058,17.0340004,16.91877747
0.059,17.0340004,16.91001129
0.06,16.06500053,16.86308479
0.061,16.06500053,16.86308479
0.062,16.06500053,16.82539558
0.063,16.06500053,16.78842926
0.064,16.06500053,16.7521801
0.065,16.06500053,16.71664047
0.066,16.06500053,16.68180084
0.067,16.06500053,16.64765739
0.068,16.06500053,16.61420059
0.069,16.06500053,16.58142471
0.07,16.06500053,16.54932213
0.071,16.06500053,16.51788712
0.072,16.06500053,16.48711014
0.073,16.06500053,16.45698547
0.074,16.06500053,16.42750549
0.075,16.06500053,16.39866257
0.076,16.06500053,16.37045288
0.077,16.06500053,16.34286499
0.078,16.06500053,16.31589508
0.079,16.06500053,16.28953552
0.08,16.06500053,16.26377869
0.081,16.06500053,16.23861694
