time,distance,kf_distance[0]
0.584,18.00300026,18.00271988
0.585,17.35700035,17.98259926
0.586,17.35700035,17.96279526
0.587,17.35700035,17.94330597
0.588,17.35700035,17.92412758
0.589,17.35700035,17.90525818
0.59,17.35700035,17.88669777
0.591,17.35700035,17.86844063
0.592,17.35700035,17.85048676
0.593,17.35700035,17.83283043
0.594,17.35700035,17.81547165
0.595,17.35700035,17.79840851
0.596,17.35700035,17.78163719
0.597,17.35700035,17.76515388
0.598,17.35700035,17.74895859
0.599,17.35700035,17.73304749
0.6,17.35700035,17.71741676
0.601,17.35700035,17.70206642
0.603,17.35700035,17.68699265
0.603,17.35700035,17.67219353
0.604,17.35700035,17.65766716
0.605,17.35700035,17.64340782
0.606,17.35700035,17.62941742
0.607,17.35700035,17.61569023
0.608,17.35700035,17.60222435
0.609,17.35700035,17.58901787
0.61,17.35700035,17.57606888
0.611,17.35700035,17.56337357
0.612,17.35700035,17.55093002
0.613,17.35700035,17.53873634
0.614,17.35700035,17.52679062
0.615,17.35700035,17.51508713
0.616,17.35700035,17.50362778
0.617,17.35700035,17.49240494
0.618,17.35700035,17.48142052
0.619,17.35700035,17.4706707
0.62,17.35700035,17.46015167
0.621,17.35700035,17.44986343
0.622,17.35700035,17.43980217
0.623,17.35700035,17.42996597
0.624,17.35700035,17.42035103
0.625,17.35700035,17.41095543
0.626,17.35700035,17.40177727
0.627,17.35700035,17.39281273
0.628,17.35700035,17.38406181
0.629,17.35700035,17.37552261
0.63,17.35700035,17.3671875
0.631,17.35700035,17.35906029
0.632,17.35700035,17.35113335
0.633,17.35700035,17.34340858
0.634,17.35700035,17.33588028
0.635,17.35700035,17.32854843
0.636,17.35700035,17.32141113
0.637,17.35700035,17.31446266
0.638,17.35700035,17.30770302
0.639,17.35700035,17.30112839
0.64,17.35700035,17.29473877
0.641,17.35700035,17.28853035
0.642,17.35700035,17.28250122
0.643,17.35700035,17.27664757
0.644,17.35700035,17.27096939
0.645,15.74200058,17.21517181
0.646,15.74200058,17.16033554
0.647,15.74200058,17.10645294
0.648,15.74200058,17.05351639
0.649,15.74200058,17.00151634
0.65,15.74200058,16.95044518
0.651,15.74200058,16.90029144
0.652,15.74200058,16.85104942
0.653,15.74200058,16.80270767
0.654,15.74200058,16.75526047
0.655,15.74200058,16.70870018
0.656,15.74200058,16.66301537
0.657,15.74200058,16.61819839
0.658,15.74200058,16.57424164
0.659,15.74200058,16.53113556
0.66,15.74200058,16.48887253
0.661,15.74200058,16.44744492
0.662,15.74200058,16.40684319
0.663,15.74200058,16.3670578
0.664,15.74200058,16.32808304
0.665,15.74200058,16.28990746
0.667,15.74200058,16.21592903
0.668,15.74200058,16.18010712
0.669,15.74200058,16.14505196
0.67,15.74200058,16.14505196
0.67,15.74200058,16.11075783
0.671,15.74200058,16.07721519
0.672,15.74200058,16.04441452
0.673,15.74200058,16.01234818
0.674,15.74200058,15.98100758
0.675,15.74200058,15.95038605
0.676,15.74200058,15.92047501
0.677,15.74200058,15.89126492
0.678,15.74200058,15.8627491
0.679,15.74200058,15.83491993
0.68,15.74200058,15.80776787
0.681,15.74200058,15.78128529
0.682,15.74200058,15.75546455
0.683,15.74200058,15.73029804
0.684,15.74200058,15.70577621
0.685,15.74200058,15.6818924
0.686,15.74200058,15.65863895
0.687,15.74200058,15.63600731
0.688,15.74200058,15.61398983
0.689,15.74200058,15.59257889
0.69,15.74200058,15.5717659
0.691,15.74200058,15.55154419
0.692,15.74200058,15.53190422
0.693,15.74200058,15.51284027
0.694,15.74200058,15.49434471
0.695,15.74200058,15.47640896
0.696,15.74200058,15.45902538
0.697,15.74200058,15.44218636
0.698,15.74200058,15.4258852
0.699,15.74200058,15.41011333
0.7,15.74200058,15.39486313
0.701,15.74200058,15.38012886
0.702,15.74200058,15.36590195
0.703,15.74200058,15.35217476
0.704,15.74200058,15.33894157
0.705,13.39600086,15.2531395
0.706,13.39600086,15.16896629
0.707,13.39600086,15.08640575
0.708,13.39600086,15.00544262
0.709,13.39600086,14.92605972
0.71,13.39600086,14.8482399
0.711,13.39600086,14.77196884
0.712,13.39600086,14.69722939
0.713,13.39600086,14.62400532
0.714,13.39600086,14.55228138
0.715,13.39600086,14.48204041
0.716,13.39600086,14.41326714
0.717,13.39600086,14.34594536
0.718,13.39600086,14.28005981
0.719,13.39600086,14.21559429
0.72,13.39600086,14.15253353
0.721,13.39600086,14.09086037
0.722,13.39600086,14.03055954
0.723,13.39600086,13.97161674
0.724,13.39600086,13.91401482
0.725,13.39600086,13.85773945
0.726,13.39600086,13.80277443
0.727,13.39600086,13.7491045
0.728,13.39600086,13.6967144
0.729,13.39600086,13.64558887
0.73,13.39600086,13.59571171
0.731,13.39600086,13.5470686
0.732,13.39600086,13.49964523
0.733,13.39600086,13.45342445
0.734,13.39600086,13.40839291
0.735,13.39600086,13.36453533
0.736,13.39600086,13.32183647
0.737,13.39600086,13.28028107
0.738,13.39600086,13.23985481
0.739,13.39600086,13.2005434
0.74,13.39600086,13.16233158
0.741,13.39600086,13.12520504
0.742,13.39600086,13.08914852
0.743,13.39600086,13.05414867
0.744,13.39600086,13.02019119
0.745,13.39600086,12.98725986
0.746,13.39600086,12.95534325
0.747,13.39600086,12.92442513
0.748,13.39600086,12.8944912
0.749,13.39600086,12.86552906
0.75,13.39600086,12.83752441
0.751,13.39600086,12.810462
0.752,13.39600086,12.78432846
0.753,13.39600086,12.7591114
0.754,13.39600086,12.73479652
0.755,13.39600086,12.71136856
0.756,13.39600086,12.68881607
0.757,13.39600086,12.6671257
0.758,13.39600086,12.6462822
0.759,13.39600086,12.62627411
0.76,13.39600086,12.60708809
0.761,13.39600086,12.58870983
0.762,13.39600086,12.57112694
0.763,13.39600086,12.55432701
0.764,9.350000381,12.41230583
0.765,9.350000381,12.27302647
0.766,9.350000381,12.1364603
0.767,9.350000381,12.00257969
0.768,9.350000381,11.87135506
0.769,9.350000381,11.7427597
0.77,9.350000381,11.61676502
0.771,9.350000381,11.49334335
0.772,9.350000381,11.37246513
0.773,9.350000381,11.25410461
0.774,9.350000381,11.13823318
0.775,9.350000381,11.02482224
0.776,9.350000381,10.91384697
0.777,9.350000381,10.80527687
0.778,9.350000381,10.69908619
0.779,9.350000381,10.59524727
0.78,9.350000381,10.49373341
0.781,9.350000381,10.39451694
0.782,9.350000381,10.29757118
0.783,9.350000381,10.20286942
0.784,9.350000381,10.11038589
0.785,9.350000381,10.02009201
0.786,9.350000381,9.931962013
0.787,9.350000381,9.845970154
0.788,9.350000381,9.762088776
0.789,9.350000381,9.680293083
0.79,9.350000381,9.600556374
0.791,9.350000381,9.522851944
0.792,9.350000381,9.447155952
0.793,9.350000381,9.373440742
0.794,9.350000381,9.301681519
0.795,9.350000381,9.231852531
0.796,9.350000381,9.163928986
0.797,9.350000381,9.097884178
0.798,9.350000381,9.033693314
0.799,9.350000381,8.97133255
0.8,9.350000381,8.910777092
0.801,9.350000381,8.85200119
0.802,9.350000381,8.794980049
0.803,9.350000381,8.739689827
0.804,9.350000381,8.686105728
0.805,9.350000381,8.634202957
0.806,9.350000381,8.583959579
0.807,9.350000381,8.535348892
0.808,9.350000381,8.488348007
0.809,9.350000381,8.442934036
0.81,9.350000381,8.399082184
0.811,9.350000381,8.356769562
0.812,9.350000381,8.315973282
0.813,9.350000381,8.276670456
0.814,9.350000381,8.238836288
0.815,9.350000381,8.202449799
0.816,9.350000381,8.167488098
0.817,9.350000381,8.133926392
0.818,9.350000381,8.101745605
0.819,9.350000381,8.070919037
0.82,9.350000381,8.041428566
0.821,9.350000381,8.013250351
0.822,9.350000381,7.986364365
0.823,9.350000381,7.960746288
0.824,8.687000275,7.915730476
0.825,8.687000275,7.872266293
0.826,8.687000275,7.830329895
0.827,8.687000275,7.789897442
0.828,8.687000275,7.750945091
0.829,8.687000275,7.713449955
0.83,8.687000275,7.677388668
0.831,8.687000275,7.642738819
0.832,8.687000275,7.609477043
0.833,8.687000275,7.577580452
0.834,8.687000275,7.547026157
0.836,8.687000275,7.489857674
0.837,8.687000275,7.489857674
0.837,8.687000275,7.463198185
0.838,8.687000275,7.437793255
0.839,8.687000275,7.413620472
0.84,8.687000275,7.390659332
0.841,8.687000275,7.368887424
0.842,8.687000275,7.348283768
0.843,8.687000275,7.328827381
0.844,8.687000275,7.310497284
0.845,8.687000275,7.293272972
0.846,8.687000275,7.277133942
0.847,8.687000275,7.262059689
0.848,8.687000275,7.248030186
0.849,8.687000275,7.235024929
0.85,8.687000275,7.223024368
0.851,8.687000275,7.212008476
0.852,8.687000275,7.201958179
0.853,8.687000275,7.192854404
0.854,8.687000275,7.184677124
0.855,8.687000275,7.177407742
0.856,8.687000275,7.17102766
0.857,8.687000275,7.16551733
0.858,8.687000275,7.160859585
0.859,8.687000275,7.157035351
0.86,8.687000275,7.154026508
0.861,8.687000275,7.151815414
0.862,8.687000275,7.150383472
0.863,8.687000275,7.149713993
0.864,8.687000275,7.149789333
0.865,8.687000275,7.150592327
0.866,8.687000275,7.152105808
0.867,8.687000275,7.154312611
0.868,8.687000275,7.157196522
0.869,8.687000275,7.160740852
0.87,8.687000275,7.16492939
0.871,8.687000275,7.169744968
0.872,8.687000275,7.175172806
0.873,8.687000275,7.181196213
0.874,8.687000275,7.187800407
0.875,8.687000275,7.194969654
0.876,8.687000275,7.202688217
0.877,8.687000275,7.210940838
0.878,8.687000275,7.219713688
0.879,8.687000275,7.228991032
0.88,8.687000275,7.238758087
0.881,8.687000275,7.249001026
0.882,8.687000275,7.25970602
0.883,8.687000275,7.270858288
0.884,8.704000473,7.282973289
0.885,8.704000473,7.295499802
0.886,8.704000473,7.308424473
0.887,8.704000473,7.321733952
0.888,8.704000473,7.335414886
0.889,8.704000473,7.34945488
0.89,8.704000473,7.363840103
0.891,8.704000473,7.378558636
0.892,8.704000473,7.393598557
0.893,8.704000473,7.408946514
0.894,8.704000473,7.424591541
0.895,8.704000473,7.440520763
0.896,8.704000473,7.456722736
0.897,8.704000473,7.473185539
0.898,8.704000473,7.489898682
0.899,8.704000473,7.506850243
0.9,8.704000473,7.524029255
0.901,8.704000473,7.541424751
0.902,8.704000473,7.559025764
0.903,8.704000473,7.576822758
0.904,8.704000473,7.59480381
0.905,8.704000473,7.612959385
0.906,8.704000473,7.631279945
0.907,8.704000473,7.649754524
0.908,8.704000473,7.668374538
0.909,8.704000473,7.687129498
0.91,8.704000473,7.706009865
0.911,8.704000473,7.72500658
0.912,8.704000473,7.744110584
0.913,8.704000473,7.763313293
0.914,8.704000473,7.782605171
0.915,8.704000473,7.801977158
0.916,8.704000473,7.8214221
0.917,8.704000473,7.840930939
0.918,8.704000473,7.860495567
0.919,8.704000473,7.88010788
0.92,8.704000473,7.899760246
0.921,8.704000473,7.919444561
0.922,8.704000473,7.939152718
0.923,8.704000473,7.958878517
0.924,8.704000473,7.97861433
0.925,8.704000473,7.998352051
0.926,8.704000473,8.01808548
0.927,8.704000473,8.037807465
0.928,8.704000473,8.057512283
0.929,8.704000473,8.077190399
0.93,8.704000473,8.096839905
0.931,8.704000473,8.11645031
0.932,8.704000473,8.136017799
0.933,8.704000473,8.155534744
0.934,8.704000473,8.17499733
0.935,8.704000473,8.19439888
0.936,8.704000473,8.213733673
0.937,8.704000473,8.23299408
0.938,8.704000473,8.252178192
0.939,8.704000473,8.271279335
0.94,8.704000473,8.29029274
0.941,8.704000473,8.309211731
0.942,8.704000473,8.328033447
0.943,8.704000473,8.34675312
0.944,9.36700058,8.386011124
0.945,9.36700058,8.42483139
0.946,9.36700058,8.463212967
0.947,9.36700058,8.501155853
0.948,9.36700058,8.538655281
0.949,9.36700058,8.575712204
0.95,9.36700058,8.612324715
0.951,9.36700058,8.648490906
0.952,9.36700058,8.684210777
0.954,9.36700058,8.719482422
0.955,9.36700058,8.75430584
0.955,9.36700058,8.788679123
0.956,9.36700058,8.822603226
0.957,9.36700058,8.856077194
0.958,9.36700058,8.889099121
0.959,9.36700058,8.921670914
0.96,9.36700058,8.953790665
0.961,9.36700058,8.985458374
0.962,9.36700058,9.016675949
0.963,9.36700058,9.047441483
0.964,9.36700058,9.077755928
0.965,9.36700058,9.107619286
0.966,9.36700058,9.137032509
0.967,9.36700058,9.165995598
0.968,9.36700058,9.194509506
0.969,9.36700058,9.222575188
0.97,9.36700058,9.250192642
0.971,9.36700058,9.277362823
0.972,9.36700058,9.304086685
0.973,9.36700058,9.330366135
0.974,9.36700058,9.356201172
0.975,9.36700058,9.381593704
0.976,9.36700058,9.406543732
0.977,9.36700058,9.431055069
0.978,9.36700058,9.455125809
0.979,9.36700058,9.478760719
0.98,9.36700058,9.501959801
0.981,9.36700058,9.52472496
0.982,9.36700058,9.547058105
0.983,9.36700058,9.56896019
0.984,9.36700058,9.590434074
0.985,9.36700058,9.611480713
0.986,9.36700058,9.632102966
0.987,9.36700058,9.652302742
0.988,9.36700058,9.672082901
0.989,9.36700058,9.691443443
0.99,9.36700058,9.710389137
0.991,9.36700058,9.728920937
0.992,9.36700058,9.747040749
0.993,9.36700058,9.764752388
